year,home_name,away_name,home,away,psxg_sot_home,launched_cpm_perc_home,launch_perc_home,av_dist_home,def_actions_out_pen_home,tkl_w_home,interceptions_home,chl_lost_home,sot_perc_home,shot_per_90_home,av_shot_dist_home,cmp_per_home,prog_dist_home,key_pass_home,pass_into_pa_home,crosses_into_pa_home,through_ball_home,switch_home,crosses_home,sca_to_home,shot_to_shot_home,sca_def_actions_home,touches_def_3rd_home,touches_mid_3rd_home,touches_att_3rd_home,psxg_sot_away,launched_cpm_perc_away,launch_perc_away,av_dist_away,def_actions_out_pen_away,tkl_w_away,interceptions_away,chl_lost_away,sot_perc_away,shot_per_90_away,av_shot_dist_away,cmp_per_away,prog_dist_away,key_pass_away,pass_into_pa_away,crosses_into_pa_away,through_ball_away,switch_away,crosses_away,sca_to_away,shot_to_shot_away,sca_def_actions_away,touches_def_3rd_away,touches_mid_3rd_away,touches_att_3rd_away,home_score,away_score
2024,Burnley,Manchester City,1,0,0.29,26.1,61.6,17.2,1.95,342.0,280.0,300.0,31.9,11.32,17.7,77.6,83556.0,326.0,216.0,54.0,49.0,77.0,550.0,49.0,45.0,9.0,19.0,91.0,110.0,0.31,45.2,31.0,16.8,1.66,305.0,233.0,236.0,38.7,17.97,17.1,88.7,112270.0,545.0,484.0,65.0,85.0,133.0,700.0,65.0,67.0,17.0,52.0,142.0,37.0,0,3
2024,Arsenal,Nott'ham Forest,1,0,0.26,35.6,35.9,14.6,1.55,348.0,292.0,272.0,32.3,17.03,15.8,84.6,102210.0,513.0,548.0,68.0,104.0,65.0,670.0,58.0,66.0,20.0,6.0,39.0,28.0,0.27,44.1,56.3,13.3,0.63,429.0,331.0,282.0,31.8,11.84,17.2,75.8,83047.0,325.0,244.0,61.0,53.0,83.0,595.0,49.0,56.0,13.0,74.0,251.0,223.0,2,1
2024,Bournemouth,West Ham,1,0,0.3,34.3,57.1,9.6,0.97,410.0,357.0,363.0,32.5,14.18,16.7,74.7,83235.0,414.0,352.0,88.0,48.0,91.0,709.0,64.0,57.0,27.0,941.0,946.0,98.0,0.26,38.0,59.3,7.6,0.21,426.0,361.0,300.0,32.8,11.71,16.2,76.8,85575.0,305.0,225.0,71.0,60.0,158.0,661.0,58.0,43.0,25.0,48.0,133.0,117.0,1,1
2024,Brighton,Luton Town,1,0,0.28,37.2,5.9,15.8,1.89,366.0,288.0,351.0,35.7,14.61,16.7,87.1,113686.0,429.0,384.0,81.0,62.0,76.0,671.0,54.0,71.0,11.0,19.0,49.0,48.0,0.34,33.7,64.8,19.0,2.03,368.0,325.0,317.0,31.4,11.24,16.3,73.2,81352.0,315.0,250.0,90.0,22.0,111.0,841.0,59.0,55.0,12.0,135.0,195.0,119.0,4,1
2024,Everton,Fulham,1,0,0.28,40.0,60.6,15.9,1.42,442.0,358.0,354.0,30.2,13.26,16.7,73.2,88374.0,339.0,284.0,77.0,45.0,78.0,752.0,31.0,76.0,32.0,262.0,913.0,281.0,0.26,32.8,38.2,14.2,1.05,384.0,371.0,332.0,35.1,13.13,17.0,80.6,100538.0,379.0,355.0,94.0,58.0,118.0,736.0,40.0,67.0,15.0,820.0,1233.0,165.0,0,1
2024,Sheffield Utd,Crystal Palace,1,0,0.31,33.1,77.3,14.4,1.47,405.0,348.0,336.0,32.5,9.47,17.4,70.5,71320.0,257.0,198.0,48.0,25.0,52.0,428.0,39.0,45.0,11.0,59.0,100.0,89.0,0.29,29.1,69.4,11.2,0.76,464.0,323.0,272.0,35.8,11.89,17.2,77.1,84922.0,353.0,273.0,60.0,52.0,97.0,583.0,48.0,50.0,23.0,52.0,172.0,243.0,0,1
2024,Newcastle Utd,Aston Villa,1,0,0.29,33.2,53.4,19.5,1.39,391.0,285.0,379.0,36.2,14.26,15.7,81.2,96401.0,424.0,380.0,76.0,85.0,133.0,648.0,72.0,67.0,16.0,591.0,667.0,73.0,0.36,35.8,31.7,8.4,1.84,311.0,236.0,290.0,35.6,13.45,16.0,83.3,95293.0,398.0,363.0,67.0,80.0,95.0,651.0,47.0,73.0,14.0,0.0,1.0,0.0,5,1
2024,Brentford,Tottenham,1,0,0.3,37.5,57.5,10.0,1.0,399.0,378.0,380.0,33.8,12.37,15.6,74.6,88492.0,332.0,333.0,106.0,70.0,113.0,706.0,34.0,55.0,14.0,5.0,0.0,1.0,0.32,23.6,11.7,17.1,2.13,451.0,355.0,331.0,35.6,15.32,16.5,85.3,111380.0,460.0,454.0,65.0,91.0,59.0,710.0,60.0,61.0,23.0,508.0,648.0,178.0,2,2
2024,Chelsea,Liverpool,1,0,0.27,35.5,37.9,15.8,1.24,376.0,298.0,307.0,36.1,14.13,17.3,85.8,109853.0,419.0,352.0,51.0,116.0,101.0,558.0,76.0,46.0,26.0,30.0,151.0,136.0,0.27,32.3,24.6,17.7,1.21,418.0,292.0,427.0,33.7,20.55,17.2,83.6,118702.0,598.0,506.0,80.0,102.0,145.0,817.0,66.0,101.0,17.0,89.0,271.0,403.0,1,1
2024,Manchester Utd,Wolves,1,0,0.27,29.0,28.6,12.9,0.97,409.0,313.0,366.0,33.5,14.29,17.4,80.8,91226.0,434.0,338.0,50.0,73.0,99.0,594.0,55.0,52.0,22.0,111.0,187.0,58.0,0.32,20.8,52.5,13.3,0.82,430.0,284.0,295.0,36.0,11.18,16.7,80.8,84649.0,316.0,239.0,61.0,49.0,125.0,578.0,53.0,47.0,15.0,1.0,15.0,10.0,1,0
